algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.1567,9589,8
QuickSort,random,1000,0.1637,18402,7
QuickSelect,random,1000,0.188299,4706,1
MergeSort,random,10000,1.801501,127038,11
QuickSort,random,10000,0.9748,255982,9
QuickSelect,random,10000,0.531201,44631,1
MergeSort,random,100000,7.771301,1639555,14
QuickSort,random,100000,9.8657,3282596,11
QuickSelect,random,100000,0.936199,411462,1
MergeSort,random,1000000,95.4774,19884680,18
QuickSort,random,1000000,108.4155,36888082,14
QuickSelect,random,1000000,11.3988,5858877,1
MergeSort,sorted,1000,0.0112,4236,8
QuickSort,sorted,1000,0.0427,17664,8
QuickSelect,sorted,1000,0.0064,5707,1
MergeSort,sorted,10000,0.127,59248,11
QuickSort,sorted,10000,0.4883,247158,10
QuickSelect,sorted,10000,0.0409,44078,1
MergeSort,sorted,100000,1.4938,744016,14
QuickSort,sorted,100000,5.5303,3055987,12
QuickSelect,sorted,100000,0.3895,413544,1
MergeSort,sorted,1000000,17.7814,9071040,18
QuickSort,sorted,1000000,65.873199,37812799,14
QuickSelect,sorted,1000000,5.424299,5838028,1
MergeSort,duplicates,1000,0.0244,9080,8
QuickSort,duplicates,1000,0.0156,5600,3
QuickSelect,duplicates,1000,0.010999,5721,1
MergeSort,duplicates,10000,0.362001,121005,11
QuickSort,duplicates,10000,0.1529,53795,3
QuickSelect,duplicates,10000,0.0856,30872,1
MergeSort,duplicates,100000,3.4862,1561343,14
QuickSort,duplicates,100000,1.4162,469917,4
QuickSelect,duplicates,100000,0.796,339907,1
MergeSort,duplicates,1000000,40.940499,18926082,18
QuickSort,duplicates,1000000,13.820101,5700908,3
QuickSelect,duplicates,1000000,7.081099,2400203,1
